;TOTAL POR GÊNERO (10 MAIORES CONSUMIDORES DA INDÚSTRIA);24 - METALURGIA;10 - FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;20 - FABRICAÇÃO DE PRODUTOS QUÍMICOS;23 - FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;07 - EXTRAÇÃO DE MINERAIS METÁLICOS;22 - FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;17 - FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;29 - FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS;25 - FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS
jan/15;21494676,72;13654031,42;1554685,188;1497076,85;1120054,865;1195789,412;615546,911;638516,559;453476,671;429807,291;335691,548
fev/15;11508146,55;3067670,34;1692786;1485426,3;1151558;1142172,911;820921;652688;561071;543663;390190
mar/15;11699302,36;3228524,72;1649520;1505123;1148714;1203904,641;803996;640636;547704;568319;402861
abr/15;11666267,46;3105444,14;1701914;1447636,6;1215776;1193383,72;804804;661214;575774;567502;392819
mai/15;11471053,87;3078127,48;1625061;1504262,3;1184720;1227385,088;767726;643524;527800;541044;371404
jun/15;11405470,37;2987262;1613788;1523308;1265495;1203608,371;758502;628580;523710;533552;367665
jul/15;11168580,84;2943650;1578791;1477544;1201275;1196933,843;735522;627697;510450;528482;368236
ago/15;11445116,31;2985829;1661851;1489945,5;1224801;1223960,805;759722;664319;527848;526949;379891
set/15;11189719,91;2882770,82;1633497;1443320;1226959;1213366,743;756581;636156,35;511381;519003;366685
out/15;11288497,23;2968982;1702663;1462944,2;1177527;1167708,39;773970;637909,64;511756;523387;361650
nov/15;11130632,52;2913539,38;1703931;1505032,9;1184672;1004193,604;783694;637544,64;523396;517607;357022
dez/15;10725984,05;2833901,9;1674519;1489923,2;1103091;983748,932;751982;633197,02;490527;428295;336799
jan/16;10183253;2819072,39;1643822;1493339,7;936712;992851,99;603134;636666,92;392300;364216;301138
fev/16;10855961,99;2966760,04;1732487;1516198,7;983744;976042,432;713661;665920,82;480379;478124;342645
mar/16;11191332;3079596,62;1726024;1515146;1045476;994117,789;735475;717188,59;505334;516338;356636
abr/16;11206422,09;3137432,2;1740919;1448164,6;1034577;999941,413;722751;699202,88;532038;528957;362439
mai/16;11221743,37;3226779,16;1670516;1493181,3;1058180;980344,429;731425;681082,48;503949;527084;349202
jun/16;11228331,65;3217356,86;1645096;1521044,7;1073705;978650,855;736208;668807,1;506677,139;523823;356963
jul/16;11369436,84;3337865,38;1648473;1498603,9;1064900;994796,519;737289;689253;505312,043;535357;357587
ago/16;11511904,58;3386196,76;1661335;1533618;1078883;1004939,02;749185;676070,8;523037;546622;352018
